                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                0.88757,                0.80091,                 1.3087,                0.81997,                0.86988,                0.89943,                0.50888,                 1.4632,                0.93343,                 1.8076,               0.006436,               0.006436,               0.006436
                    110,                0.85106,                0.77101,                 1.2856,                0.87541,                0.86536,                0.90023,                0.54254,                 1.3779,                0.94029,                 1.7633,               0.006403,               0.006403,               0.006403
                    111,                 0.8689,                0.78874,                 1.2966,                0.89501,                0.79091,                0.86829,                0.50743,                  1.468,                0.97075,                 1.8527,                0.00637,                0.00637,                0.00637
                    112,                0.86041,                0.76978,                 1.2876,                0.92128,                0.84255,                0.90766,                0.54819,                 1.3984,                0.87009,                 1.7315,               0.006337,               0.006337,               0.006337
                    113,                0.86161,                0.76324,                 1.2837,                0.86732,                 0.8551,                0.88524,                 0.5532,                 1.4103,                0.91247,                 1.7699,               0.006304,               0.006304,               0.006304
                    114,                0.86195,                0.76819,                 1.2867,                0.83913,                0.78346,                0.86201,                0.51051,                 1.4839,                 1.0549,                 1.8814,               0.006271,               0.006271,               0.006271
                    115,                0.84522,                0.75125,                 1.2831,                0.87173,                0.80068,                0.86246,                 0.5455,                 1.3707,                 0.8654,                 1.7714,               0.006238,               0.006238,               0.006238
                    116,                 0.8559,                 0.7595,                 1.2815,                0.91276,                0.83687,                0.90456,                0.52105,                 1.5123,                0.99294,                  1.876,               0.006205,               0.006205,               0.006205
                    117,                0.85574,                0.76479,                 1.2843,                0.87685,                  0.836,                0.89023,                 0.5519,                 1.3588,                 0.8384,                 1.7158,               0.006172,               0.006172,               0.006172
                    118,                0.84809,                0.74416,                 1.2783,                0.84139,                0.82562,                0.86967,                0.51844,                 1.5084,                0.96862,                  1.891,               0.006139,               0.006139,               0.006139
                    119,                0.85534,                0.76637,                 1.2791,                0.84429,                0.88336,                 0.9071,                0.54727,                 1.3995,                 0.8743,                 1.7456,               0.006106,               0.006106,               0.006106
                    120,                0.84033,                0.74278,                 1.2735,                0.87815,                0.80924,                0.89559,                0.54081,                 1.3717,                0.85738,                 1.7047,               0.006073,               0.006073,               0.006073
                    121,                0.84359,                0.74933,                 1.2779,                 0.8273,                0.83031,                0.89015,                0.54954,                 1.3318,                0.82283,                 1.6877,                0.00604,                0.00604,                0.00604
                    122,                 0.8435,                0.74103,                  1.271,                0.89329,                0.79821,                0.89071,                0.54901,                 1.4131,                0.91697,                    1.8,               0.006007,               0.006007,               0.006007
                    123,                0.82812,                0.71186,                 1.2551,                0.92398,                0.78229,                0.88213,                 0.5262,                 1.4788,                0.99491,                 1.8895,               0.005974,               0.005974,               0.005974
                    124,                0.82382,                0.72177,                 1.2619,                0.83678,                0.85875,                0.89484,                0.51591,                 1.4792,                0.88521,                 1.8556,               0.005941,               0.005941,               0.005941
                    125,                 0.8225,                0.73945,                 1.2641,                   0.88,                0.82936,                0.87533,                0.54392,                  1.374,                0.92227,                 1.7944,               0.005908,               0.005908,               0.005908
                    126,                0.83942,                 0.7347,                 1.2715,                0.88405,                0.84433,                0.88801,                0.55518,                 1.4559,                0.95996,                 1.8706,               0.005875,               0.005875,               0.005875
                    127,                0.83596,                0.72035,                 1.2652,                0.87912,                0.85579,                0.89677,                0.52106,                 1.4394,                0.92692,                 1.8159,               0.005842,               0.005842,               0.005842
                    128,                0.81381,                0.71933,                 1.2476,                0.91693,                0.86654,                0.92197,                0.56269,                 1.3695,                0.85968,                 1.7328,               0.005809,               0.005809,               0.005809
                    129,                 0.8222,                0.71838,                 1.2541,                0.92586,                0.82659,                0.91213,                0.54514,                  1.445,                0.99016,                 1.8576,               0.005776,               0.005776,               0.005776
                    130,                0.81754,                0.71417,                 1.2534,                0.88285,                0.82886,                0.88965,                0.55017,                 1.4452,                0.97881,                  1.812,               0.005743,               0.005743,               0.005743
                    131,                0.81446,                 0.7224,                 1.2561,                  0.856,                0.84456,                0.89713,                0.54921,                 1.3801,                0.87001,                 1.7584,                0.00571,                0.00571,                0.00571
                    132,                0.80874,                0.72025,                 1.2487,                0.84403,                0.85146,                0.91018,                0.56078,                 1.3811,                 0.9628,                 1.7585,               0.005677,               0.005677,               0.005677
                    133,                0.81354,                0.72132,                 1.2498,                0.86414,                0.84305,                0.90163,                0.53078,                 1.4775,                0.90977,                 1.8523,               0.005644,               0.005644,               0.005644
                    134,                 0.8025,                0.70893,                 1.2421,                0.91655,                0.81802,                0.91033,                0.54577,                 1.4464,                0.95915,                 1.8216,               0.005611,               0.005611,               0.005611
                    135,                0.78841,                0.69501,                 1.2391,                  0.895,                0.83504,                 0.8952,                0.54656,                  1.412,                0.93062,                 1.7565,               0.005578,               0.005578,               0.005578
                    136,                0.81633,                0.71191,                 1.2514,                0.91915,                0.80525,                0.89714,                0.52876,                 1.4626,                0.89839,                 1.8321,               0.005545,               0.005545,               0.005545
                    137,                0.79801,                0.68838,                 1.2384,                0.85287,                 0.8412,                0.88084,                0.55402,                 1.3601,                0.85461,                 1.7386,               0.005512,               0.005512,               0.005512
                    138,                0.78995,                0.69594,                 1.2329,                0.88936,                 0.8521,                0.90879,                0.56437,                 1.3864,                0.90891,                 1.7517,               0.005479,               0.005479,               0.005479
                    139,                0.80187,                0.70495,                 1.2512,                0.85908,                0.83128,                0.89766,                0.54612,                 1.3751,                0.95963,                 1.7435,               0.005446,               0.005446,               0.005446
                    140,                0.79743,                0.69072,                 1.2389,                0.83907,                0.83459,                0.89218,                0.53369,                 1.3882,                0.87941,                 1.7573,               0.005413,               0.005413,               0.005413
                    141,                0.78809,                0.68506,                 1.2356,                0.86217,                0.84508,                0.89581,                 0.5301,                 1.4541,                0.86024,                 1.8215,                0.00538,                0.00538,                0.00538
                    142,                0.79951,                0.68522,                 1.2369,                0.85219,                0.86822,                0.89636,                0.53937,                 1.4103,                0.89484,                 1.7874,               0.005347,               0.005347,               0.005347
                    143,                0.78079,                0.68086,                 1.2256,                0.88324,                0.86216,                0.90052,                0.57401,                 1.3369,                0.82788,                 1.7198,               0.005314,               0.005314,               0.005314
                    144,                0.78987,                0.68824,                 1.2317,                0.92486,                0.84503,                0.91205,                0.56987,                  1.306,                0.81125,                  1.703,               0.005281,               0.005281,               0.005281
                    145,                0.77719,                0.66471,                 1.2252,                0.88949,                0.83495,                0.89966,                 0.5618,                 1.3559,                0.80909,                 1.7614,               0.005248,               0.005248,               0.005248
                    146,                0.78038,                0.67209,                 1.2244,                0.85055,                0.84764,                0.90194,                0.55575,                 1.3856,                0.86579,                 1.7954,               0.005215,               0.005215,               0.005215
                    147,                0.77306,                0.67962,                 1.2257,                0.86561,                0.83249,                0.88979,                0.55411,                 1.3822,                0.88329,                 1.7825,               0.005182,               0.005182,               0.005182
                    148,                0.77566,                0.66999,                 1.2216,                0.89792,                 0.8629,                0.91901,                0.57069,                 1.3787,                0.81768,                 1.7405,               0.005149,               0.005149,               0.005149
                    149,                0.78161,                0.67602,                 1.2248,                0.87486,                0.87642,                0.91407,                0.55055,                 1.3928,                0.89386,                 1.7838,               0.005116,               0.005116,               0.005116
                    150,                0.77135,                0.65908,                 1.2192,                0.91031,                0.85994,                0.91859,                0.56015,                 1.3379,                0.81651,                 1.7154,               0.005083,               0.005083,               0.005083
                    151,                0.77156,                0.66242,                 1.2231,                0.88216,                0.81503,                 0.8983,                0.55822,                 1.3496,                0.84717,                 1.7116,                0.00505,                0.00505,                0.00505
                    152,                0.77034,                0.66114,                 1.2184,                0.88114,                0.84995,                0.89614,                0.55851,                 1.3685,                0.82678,                 1.7641,               0.005017,               0.005017,               0.005017
                    153,                 0.7595,                0.65184,                 1.2123,                0.84418,                0.83966,                0.89098,                0.54972,                  1.416,                0.88947,                 1.8261,               0.004984,               0.004984,               0.004984
